GEOID,state_alpha,nccpi3corn,nccpi3all,aws0_100,aws0_150,soc0_30,soc0_100,rootznemc,rootznaws,droughty,pctearthmc,pwsl1pomu
08055,CO,0.055321759729755296,0.15737858045526765,94.92950284328847,129.56683023868771,3175.970058049508,5139.783154716642,115.77869237076484,142.946573931786,0.5471024491412414,81.3869045210139,48.397684095772256
08057,CO,0.0010000000474974513,0.021796318397788315,86.92395557107115,113.73144050839531,3501.748499782482,5743.676952761136,121.59719548797612,129.3263801333689,0.6716270225703755,81.32762903108858,72.26690193697556
08059,CO,0.03713235586857729,0.10082841814340095,52.31952412919508,68.75277739709207,2666.6806621635387,3951.757159587474,73.78740178860733,84.59182080221561,0.7528673679650484,71.32682307981456,180.73703114711623
08061,CO,0.09449625747650274,0.2974449801981533,146.52760800188614,217.2875700907551,2252.144463920633,5056.659755799698,143.0281936050586,225.7125307689524,0.20844572239457734,86.03459659797018,107.71476698001459
08063,CO,0.1435250117402647,0.3868535690601634,166.52668135373204,247.60862994229876,3308.208342224034,7520.359784107617,148.58322952586235,248.78443465909066,0.06788548545458167,82.35652908494572,2.1218307723989205
08065,CO,0.0010514890683393464,0.0213430862669127,56.973402072654665,74.91789686159545,3702.9480958372656,4888.455138587303,136.99766842373893,84.23037039350308,0.9645708203176668,71.67931302971844,127.21007178608374
08067,CO,0.05987954797184612,0.13485563367449585,80.7355459491187,108.09611719197122,3142.7866227320637,4861.990020719419,98.28754590246452,135.14950294897255,0.6388084309648694,69.61197991235875,46.92826909227928
08069,CO,0.032104493992973666,0.09575884530471468,63.747949688991795,81.294314732685,3945.0706059732624,5497.018294516114,85.01507720411952,89.96042089544977,0.7826207409637581,73.34431859535974,115.73937579670948
08071,CO,0.0586696029436337,0.17509243794719687,111.84420794921715,146.90799673825887,3195.081649940479,5350.952136787901,94.84557001701997,145.6750051947178,0.5296874263386016,80.95507661950346,61.761259827188304
08073,CO,0.07932827142823162,0.2671242141191601,136.7013429764889,199.52208672448288,2637.832000803196,5440.165796768966,140.33571828692118,199.9494662296975,0.23587761945010832,84.50491425641157,5.913312517001828
08075,CO,0.13211219426970952,0.31796754258323395,115.31523029705177,162.15962578219282,3180.8080305235794,6516.5243255593205,141.08686451145152,176.6959485581039,0.33886666240700314,83.62513356251073,93.59248559408884
08077,CO,0.026487825132503154,0.09149287900628349,80.88447678288628,108.2673244642943,2179.728152650121,4036.990844066062,97.50113398921776,131.10224738231815,0.5797764577959287,70.58127730876231,164.38301271186742
08079,CO,0.0019261038587978837,0.02567405615245887,76.16232212866996,96.70487357923898,11142.253322879737,13990.18418615046,115.79432391226653,106.33854912747879,0.8248072541043721,68.74935576292252,73.59898608955484
