MapDate,StateAbbreviation,StatisticFormatID,ValidStart,ValidEnd,D0,D1,D2,D3,D4,None,Missing
20251209,IA,1,2025-12-09,2025-12-15,65.07,21.42,0.00,0.00,0.00,34.93
20251209,MO,1,2025-12-09,2025-12-15,79.83,30.49,4.58,0.00,0.00,20.17
20251209,NE,1,2025-12-09,2025-12-15,65.66,24.27,0.22,0.00,0.00,34.34
20251209,WI,1,2025-12-09,2025-12-15,97.55,56.47,12.63,0.00,0.00,2.45
20251202,CO,1,2025-12-02,2025-12-08,57.82,36.43,14.70,1.57,0.00,42.18
20251202,IA,1,2025-12-02,2025-12-08,65.07,21.42,0.00,0.00,0.00,34.93
20251202,MO,1,2025-12-02,2025-12-08,76.33,31.88,4.58,0.00,0.00,23.67
20251202,NE,1,2025-12-02,2025-12-08,65.66,24.27,0.22,0.00,0.00,34.34
20251202,WI,1,2025-12-02,2025-12-08,97.55,56.47,12.63,0.00,0.00,2.45
20251125,CO,1,2025-11-25,2025-12-01,55.99,30.35,14.20,1.29,0.00,44.01
20251125,IA,1,2025-11-25,2025-12-01,71.66,21.41,0.00,0.00,0.00,28.34
20251125,MO,1,2025-11-25,2025-12-01,75.50,34.06,4.59,0.00,0.00,24.50
20251125,NE,1,2025-11-25,2025-12-01,65.63,24.29,0.22,0.00,0.00,34.37
20251125,WI,1,2025-11-25,2025-12-01,95.73,56.47,12.63,0.00,0.00,4.27
20251118,CO,1,2025-11-18,2025-11-24,66.73,31.14,13.49,1.29,0.00,33.27
20251118,IA,1,2025-11-18,2025-11-24,71.66,21.41,0.00,0.00,0.00,28.34
20251118,MO,1,2025-11-18,2025-11-24,93.26,63.85,21.77,0.00,0.00,6.74
20251118,NE,1,2025-11-18,2025-11-24,54.94,24.29,0.22,0.00,0.00,45.06
20251118,WI,1,2025-11-18,2025-11-24,95.73,56.47,12.63,0.00,0.00,4.27
20251111,CO,1,2025-11-11,2025-11-17,61.50,30.41,13.49,1.29,0.00,38.50
20251111,IA,1,2025-11-11,2025-11-17,67.31,15.36,0.00,0.00,0.00,32.69
20251111,MO,1,2025-11-11,2025-11-17,91.29,63.45,19.44,0.00,0.00,8.71
20251111,NE,1,2025-11-11,2025-11-17,43.29,17.22,0.00,0.00,0.00,56.71
20251111,WI,1,2025-11-11,2025-11-17,78.16,38.66,1.35,0.00,0.00,21.84
20251104,CO,1,2025-11-04,2025-11-10,55.10,29.37,13.49,1.29,0.00,44.90
20251104,IA,1,2025-11-04,2025-11-10,66.17,15.36,0.00,0.00,0.00,33.83
20251104,MO,1,2025-11-04,2025-11-10,91.30,60.81,19.44,0.00,0.00,8.70
20251104,NE,1,2025-11-04,2025-11-10,38.70,14.02,0.00,0.00,0.00,61.30
20251104,WI,1,2025-11-04,2025-11-10,72.76,36.31,1.35,0.00,0.00,27.24
20251028,CO,1,2025-10-28,2025-11-03,49.36,29.20,13.49,1.30,0.00,50.64
20251028,IA,1,2025-10-28,2025-11-03,66.24,11.91,0.00,0.00,0.00,33.76
20251028,MO,1,2025-10-28,2025-11-03,97.13,68.32,24.37,2.79,0.00,2.87
20251028,NE,1,2025-10-28,2025-11-03,34.78,12.30,0.00,0.00,0.00,65.22
20251028,WI,1,2025-10-28,2025-11-03,70.43,12.61,0.46,0.00,0.00,29.57
20251021,CO,1,2025-10-21,2025-10-27,47.41,29.19,13.49,1.30,0.00,52.59
20251021,IA,1,2025-10-21,2025-10-27,64.01,4.61,0.00,0.00,0.00,35.99
20251021,MO,1,2025-10-21,2025-10-27,97.13,73.18,22.23,2.77,0.00,2.87
20251021,NE,1,2025-10-21,2025-10-27,34.78,12.30,0.00,0.00,0.00,65.22
20251021,WI,1,2025-10-21,2025-10-27,69.29,10.85,0.00,0.00,0.00,30.71
20251014,CO,1,2025-10-14,2025-10-20,50.71,35.84,17.33,1.30,0.00,49.29
20251014,IA,1,2025-10-14,2025-10-20,53.19,4.72,0.00,0.00,0.00,46.81
20251014,MO,1,2025-10-14,2025-10-20,98.48,76.94,35.85,3.94,0.00,1.52
20251014,NE,1,2025-10-14,2025-10-20,36.62,9.08,0.00,0.00,0.00,63.38
20251014,WI,1,2025-10-14,2025-10-20,69.29,10.86,0.00,0.00,0.00,30.71
20251007,CO,1,2025-10-07,2025-10-13,54.18,44.99,34.74,14.34,0.00,45.82
20251007,IA,1,2025-10-07,2025-10-13,50.44,0.94,0.00,0.00,0.00,49.56
20251007,MO,1,2025-10-07,2025-10-13,97.50,70.93,26.76,0.00,0.00,2.50
20251007,NE,1,2025-10-07,2025-10-13,36.62,9.08,0.00,0.00,0.00,63.38
20251007,WI,1,2025-10-07,2025-10-13,69.16,6.12,0.00,0.00,0.00,30.84
20250930,CO,1,2025-09-30,2025-10-06,54.18,45.19,35.88,14.34,0.00,45.82
